name;id;name_1;question_id;ordering;answer_key
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;8FEE55AA-A4D7-4A7B-A1D4-969FB8F2AFBD;137;D
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;1169EBEB-94FB-486B-88A5-B8878F97B32B;138;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;72A11D23-03B6-41B8-9AB5-F4D3606E6EC4;139;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;EAB2A066-AF21-4F9B-8ECE-6AF921913992;140;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;8013E3C9-F591-4950-9A0F-ED480C7C4AB3;141;B
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;600BA2C4-A1D1-4232-855A-BE0FDFD6BF90;142;D
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;79274A8B-1EE7-4F9D-8983-12D25D2A2E23;143;B
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;A3FFCDE3-D45A-4EAD-A79F-C8A653829090;144;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;F24AFA07-16A9-456A-BC51-544F2448ABEC;145;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;14DFC7B0-B247-46DC-9568-E7F1C9C076B6;146;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;6995151C-7C3C-47CD-BA40-F3FAA2C73DD8;147;B
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;604605B4-585D-4BE0-9204-C05C72ECCCEC;148;B
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;472E10B8-EBFB-4C66-85BA-41CC319F6228;149;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;10A7327E-581C-4A02-A31D-A18E9D04F137;150;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;E682345B-D33F-425C-86E2-202522F17E74;151;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;6D84AB2D-F570-4684-90D7-1369F09374F6;152;B
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;45E782B1-F919-4CD9-8C11-13D0DCD6C8B7;153;B
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;E00F9A5B-F8B8-4E85-A64F-9E16840DBD76;154;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;7F61D7F8-0B26-48DF-80DA-5224410455D9;155;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;848B6D2C-743E-47FD-941D-10706B3C6D02;156;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;0EE451C8-1998-4AC1-B0CC-FC2D407E6AC4;157;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;028F3AE7-FBDD-4E6D-9373-F0DB8E056DF9;158;D
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;EBD4BBFB-D928-4FBA-98A8-321CD6FCD80C;159;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;DFAA4BBC-E741-45B8-BB6C-1958443B48F7;160;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;7D9C174A-DAC6-4610-ACA8-B4DAFCE38DC1;161;D
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;6FEF229C-97CB-475D-A7F1-6C6982E7944E;162;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;2878522D-3EF1-48E8-A615-B4C3DBAED847;163;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;7C5F6E47-D97F-4894-AB51-58E9FF8E0AD7;164;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;4C1791A9-5DC9-47C9-8B55-8F6FB05B9B41;165;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;8F5AE3E5-1A47-45F8-9BC1-0E3DD4374C8D;166;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;197F0F26-CB66-4E99-93AD-FD17427419FE;167;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;41EF556C-F245-40CA-B814-9803CC7BE3C4;168;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;C8497780-9234-42C9-AB8C-B4EAFF742C32;169;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;6AD8D2BA-6DDE-4B18-B25E-1EC74F8B79D2;170;D
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;221A18F1-9E5A-4442-9711-0729CB3A7669;171;D
